branch_id,from_bus_id,to_bus_id,dist,branch_device_type,cost
100974,3001038,3001032,54.68231472,Line,124.5352923
100975,3001033,3001081,70.62542732,Line,87.73345009
100976,3001033,3003050,181.678713,Line,225.6878422
100977,3001035,3001034,0,Transformer,99999
100978,3001067,3001034,13.70632302,Line,31.21522841
100979,3001088,3001036,35.6966664,Line,81.29675578
100980,3001037,3001071,14.71144382,Line,33.5043234
100981,3001039,3001038,0,Transformer,99999
100982,3001082,3001038,14.838745,Line,33.79424327
100983,3001083,3001038,27.37490175,Line,62.34449674
100984,3001040,3001090,39.84040397,Line,90.73383926
100985,3001042,3001041,0,Transformer,99999
100986,3001043,3001041,0,Transformer,99999
100987,3001065,3001041,6.615451567,Line,15.0662458
100988,3001041,3001067,5.292671516,Line,12.05370325
100989,3001044,3003019,51.39942709,Line,117.0587366
100990,3003130,3001044,59.97834988,Line,136.596656
100991,3001045,3001064,11.90005614,Line,27.10157712
100992,3001087,3001046,43.523678,Line,99.12224803
100993,3001046,3003009,75.26045765,Line,171.4006282
100994,3001048,3001047,0,Transformer,99999
100995,3001049,3001047,0,Transformer,99999
100996,3001050,3001047,0,Transformer,99999
100997,3001051,3001047,0,Transformer,99999
100998,3001052,3001047,0,Transformer,99999
100999,3001053,3001047,0,Transformer,99999
101000,3001047,3001085,20.82811,Line,47.43461905
101001,3001053,3001081,66.66052981,Line,82.80811157
101002,3001054,3001056,29.35326914,Line,66.85009534
101003,3001089,3001054,60.46150574,Line,137.697011
101004,3001055,3001089,34.53394156,Line,78.64872819
101005,3001057,3001056,0,Transformer,99999
101006,3001056,3001061,39.25195823,Line,89.3936937
101007,3001056,3001065,39.29018978,Line,89.48076347
101008,3001059,3001058,0,Transformer,99999
101009,3001060,3001058,0,Transformer,99999
101010,3001069,3001058,16.2603101,Line,37.03176214
101011,3001069,3001058,16.2603101,Line,37.03176214
101012,3001058,3001087,34.53043023,Line,78.64073136
101013,3001058,3001087,34.53043023,Line,78.64073136
101014,3001062,3001061,0,Transformer,99999
101015,3001063,3001061,0,Transformer,99999
101016,3001061,3003042,73.06091821,Line,166.3913251
101017,3001066,3001065,0,Transformer,99999
101018,3001088,3001068,51.19270857,Line,116.5879491
101019,3001070,3001069,0,Transformer,99999
101020,3001082,3001069,28.4645248,Line,64.82603991
101021,3001072,3001071,0,Transformer,99999
101022,3001073,3001071,0,Transformer,99999
101023,3001074,3001071,0,Transformer,99999
101024,3001075,3001071,0,Transformer,99999
101025,3001076,3001071,0,Transformer,99999
101026,3001077,3001071,0,Transformer,99999
101027,3001078,3001071,0,Transformer,99999
101028,3001079,3001071,0,Transformer,99999
101029,3001080,3001071,0,Transformer,99999
101030,3001081,3001071,0,Transformer,99999
101031,3003048,3001079,177.1656719,Line,148.1318327
101032,3003048,3001079,177.1656719,Line,148.1318327
101033,3001081,3003058,132.3407426,Line,164.3984381
101034,3001084,3003130,27.24477616,Line,62.04814445
101035,3001085,3001086,45.19030837,Line,102.9178866
101036,3001090,3001085,44.34098547,Line,100.9836108
101037,3002029,3001091,91.62252906,Line,208.6641449
101038,3001091,3002048,51.66793885,Line,117.6702541
101039,3002098,3001091,13.05261049,Line,29.72644211
101040,3002022,3002001,19.75880564,Line,44.99935032
101041,3002027,3002001,22.49927049,Line,51.24057462
101042,3002003,3002002,0,Transformer,99999
101043,3002004,3002002,0,Transformer,99999
101044,3002005,3002002,0,Transformer,99999
101045,3002006,3002002,0,Transformer,99999
101046,3002021,3002002,75.34399779,Line,62.99665367
101047,3002002,3002101,23.72623149,Line,19.83798619
101048,3002038,3002003,11.41757495,Line,26.00275868
101049,3002003,3002047,5.605492896,Line,12.76613289
101050,3002007,3002114,28.7651295,Line,65.51064689
101051,3002007,3002122,20.26220156,Line,46.14580065
101052,3002014,3002008,53.08006812,Line,120.8862835
101053,3002008,3002052,44.23330958,Line,100.7383862
101054,3002009,3002049,39.64292493,Line,90.28409405
101055,3002009,3002082,17.30534871,Line,39.41176725
101056,3002109,3002009,17.07338837,Line,38.88349318
101057,3002061,3002010,57.44153028,Line,130.8192201
101058,3002010,3002079,48.51793271,Line,110.4963271
101059,3002010,3002091,57.94994196,Line,131.9770935
101060,3002012,3002011,0,Transformer,99999
101061,3002013,3002011,0,Transformer,99999
101062,3002127,3002011,83.82188914,Line,70.08519159
101063,3002012,3002041,29.34399992,Line,66.82898532
101064,3002012,3002052,47.28029238,Line,107.6776845
101065,3002093,3002012,24.22899929,Line,55.17991556
101066,3002012,3002123,23.42447556,Line,53.3476669
101067,3002014,3002029,43.75161911,Line,99.64136857
101068,3002015,3002037,20.31263897,Line,46.26066847
101069,3005014,3002015,22.64188245,Line,51.56536375
101070,3002043,3002016,13.97154794,Line,31.81926032
101071,3002069,3002016,19.79754134,Line,45.08756827
101072,3002018,3002017,0,Transformer,99999
101073,3002019,3002017,0,Transformer,99999
101074,3002017,3002096,196.8153098,Line,164.5612958
101075,3002017,3002127,69.33408325,Line,57.97164151
101076,3002018,3002093,27.39634624,Line,62.39333511
101077,3002045,3002020,3.139705252,Line,7.150467447
101078,3002055,3002020,4.377561232,Line,9.969601149
101079,3002022,3002021,0,Transformer,99999
101080,3002023,3002021,0,Transformer,99999
101081,3002024,3002021,0,Transformer,99999
101082,3002113,3002021,7.924331981,Line,6.625695637
101083,3002022,3002040,51.98941232,Line,118.4023883
101084,3002064,3002022,18.07768129,Line,41.17070272
101085,3002025,3002055,5.429781045,Line,12.36596097
101086,3002067,3002025,7.476611411,Line,17.0274794
101087,3002058,3002026,58.27760095,Line,132.7233148
101088,3002128,3002026,28.40152785,Line,64.68256859
101089,3002027,3002090,39.84857209,Line,90.75244161
101090,3002028,3002045,11.75688975,Line,26.77552532
101091,3002028,3002109,24.15569924,Line,55.01297964
101092,3002112,3002028,11.94336565,Line,27.20021162
101093,3002030,3002106,27.78113922,Line,63.26967523
101094,3002122,3002030,23.87158016,Line,54.36591755
101095,3002031,3002048,56.47998997,Line,128.6293767
101096,3002031,3002087,51.28767848,Line,116.8042367
101097,3002032,3002114,25.83687643,Line,58.84174756
101098,3002122,3002032,33.30645837,Line,75.85321782
101099,3002129,3002033,12.278509,Line,27.96347805
101100,3002033,3005288,21.78782583,Line,49.62030728
101101,3002034,3002043,10.33006016,Line,23.52601693
101102,3002046,3002034,11.03662061,Line,25.13516081
101103,3002035,3002066,45.68420312,Line,104.0426986
101104,3002035,3002091,60.3263593,Line,137.3892241
101105,3002036,3002055,5.098357493,Line,11.61116613
101106,3002036,3002082,5.547823301,Line,12.63479427
101107,3002037,3002065,13.44838033,Line,30.62778129
101108,3002110,3002037,9.936122925,Line,22.62885138
101109,3002081,3002038,20.69963723,Line,47.14203096
101110,3002039,3002086,19.90466749,Line,45.33154087
101111,3005285,3002039,18.42181503,Line,41.95444417
101112,3002039,3005455,12.0023917,Line,27.33463948
101113,3002040,3002114,54.98139735,Line,125.2164329
101114,3002121,3002040,21.04421536,Line,47.92678447
101115,3002042,3002041,0,Transformer,99999
101116,3002041,3002058,32.06128286,Line,73.01741437
101117,3002065,3002044,24.03071517,Line,54.72833682
101118,3002044,3002102,34.48092491,Line,78.52798634
101119,3002063,3002046,11.74596342,Line,26.75064134
101120,3002092,3002047,12.17411733,Line,27.72573305
101121,3002079,3002048,69.34374817,Line,157.9257205
101122,3002049,3002061,29.54867617,Line,67.2951217
101123,3002090,3002050,55.98608167,Line,127.5045338
101124,3002050,3005268,29.96769364,Line,68.24940581
101125,3002080,3002051,22.37717586,Line,50.96251231
101126,3002051,3002112,28.27050569,Line,64.38417445
101127,3005285,3002053,24.52543578,Line,55.85502972
101128,3002053,3005362,36.19821772,Line,82.43900516
101129,3002055,3002054,0,Transformer,99999
101130,3002055,3002054,0,Transformer,99999
101131,3002056,3002054,0,Transformer,99999
101132,3002057,3002054,0,Transformer,99999
101133,3002127,3002054,269.0035294,Line,224.919339
101134,3002054,3005236,62.28480701,Line,52.07759784
101135,3002059,3002058,0,Transformer,99999
101136,3002123,3002058,12.3538415,Line,28.13504274
101137,3002060,3002064,19.67922609,Line,44.81811325
101138,3005136,3002060,13.63084093,Line,31.04332303
101139,3002062,3002061,0,Transformer,99999
101140,3002092,3002063,13.24779261,Line,30.17095626
101141,3002126,3002065,23.06672927,Line,52.53292381
101142,3002073,3002066,35.19730919,Line,80.15950333
101143,3002068,3002067,32.22167326,Line,73.38269271
101144,3002068,3002088,4.376732528,Line,9.967713833
101145,3002069,3002072,18.04925647,Line,41.10596711
101146,3002069,3005074,24.01931111,Line,54.70236486
101147,3002071,3002070,0,Transformer,99999
101148,3002088,3002070,7.5985431,Line,17.30517062
101149,3002070,3005237,17.13943283,Line,39.033905
101150,3002072,3002102,27.21270987,Line,61.97511564
101151,3002074,3002073,0,Transformer,99999
101152,3002076,3002073,0,Transformer,99999
101153,3002087,3002073,44.96281778,Line,102.399792
101154,3002073,3003079,44.60719216,Line,101.5898786
101155,3002075,3002074,0,Transformer,99999
101156,3003115,3002074,8.995560225,Line,20.48678312
101157,3002078,3002077,0,Transformer,99999
101158,3002077,3002110,7.053201833,Line,16.06319258
101159,3002077,3002133,9.928980481,Line,22.61258495
101160,3002086,3002080,31.50902416,Line,71.75968235
101161,3002133,3002080,40.02411527,Line,91.15222939
101162,3002081,3002129,29.61037566,Line,67.43563814
101163,3002083,3002082,0,Transformer,99999
101164,3002084,3002082,0,Transformer,99999
101165,3002085,3002082,0,Transformer,99999
101166,3002089,3002088,0,Transformer,99999
101167,3002090,3002121,41.53257218,Line,94.5876385
101168,3002094,3002093,0,Transformer,99999
101169,3002095,3002093,0,Transformer,99999
101170,3002097,3002096,0,Transformer,99999
101171,3002099,3002096,0,Transformer,99999
101172,3002100,3002096,0,Transformer,99999
101173,3002098,3002097,0,Transformer,99999
101174,3002097,3003096,82.43149163,Line,102.3993685
101175,3002102,3002101,0,Transformer,99999
101176,3002103,3002101,0,Transformer,99999
101177,3002104,3002101,0,Transformer,99999
101178,3002105,3002101,0,Transformer,99999
101179,3002101,3005083,46.2334287,Line,38.65671296
101180,3002102,3002107,6.693603237,Line,15.24423097
101181,3002124,3002106,15.69818071,Line,35.75155028
101182,3002106,3002129,9.983375364,Line,22.73646563
101183,3002107,3002125,35.31575611,Line,80.42925823
101184,3002130,3002108,22.26352657,Line,50.7036837
101185,3005472,3002108,38.14720429,Line,86.87769092
101186,3002111,3005187,31.05516344,Line,70.7260451
101187,3002111,3005472,51.70777808,Line,117.7609853
101188,3002114,3002113,0,Transformer,99999
101189,3002115,3002113,0,Transformer,99999
101190,3002116,3002113,0,Transformer,99999
101191,3002117,3002113,0,Transformer,99999
101192,3002118,3002113,0,Transformer,99999
101193,3002119,3002113,0,Transformer,99999
101194,3002120,3002113,0,Transformer,99999
101195,3005049,3002113,71.39222617,Line,59.69249679
101196,3002113,3008126,78.65383711,Line,65.76407785
101197,3005450,3002124,16.81426496,Line,38.29335705
101198,3002125,3005078,23.10454452,Line,52.6190455
101199,3002125,3005215,11.04492115,Line,25.15406473
101200,3002126,3005220,12.2910354,Line,27.99200608
101201,3002128,3002127,0,Transformer,99999
101202,3002127,3005164,416.7736965,Line,348.4729904
101203,3002129,3005141,14.46086406,Line,32.93364486
101204,3002131,3002130,0,Transformer,99999
101205,3002132,3002131,0,Transformer,99999
101206,3003021,3002131,28.55243218,Line,65.02624306
101207,3003002,3003001,0,Transformer,99999
101208,3003002,3003001,0,Transformer,99999
101209,3003001,3006177,69.17407421,Line,85.93052697
101210,3006285,3003001,48.2259829,Line,59.90805329
101211,3003002,3003107,22.17656796,Line,50.50564132
101212,3003004,3003003,0,Transformer,99999
101213,3003003,3003103,14.24805178,Line,32.4489792
101214,3003141,3003003,3.270999994,Line,7.449482388
101215,3003005,3003052,50.37732345,Line,114.7309644
101216,3003126,3003005,38.2133144,Line,87.02825225
101217,3003006,3003049,23.76147806,Line,54.11516743
101218,3003145,3003006,22.92450827,Line,52.20902504
101219,3003007,3003013,37.58352776,Line,85.59395555
101220,3003007,3003137,11.58474064,Line,26.38346729
101221,3003007,3003145,27.1476684,Line,61.82698808
101222,3003008,3003036,47.62643312,Line,108.4659967
101223,3003140,3003008,37.03660901,Line,84.34838491
101224,3003143,3003008,30.35328222,Line,69.12755785
101225,3003009,3003024,49.26679327,Line,112.2018066
101226,3003146,3003009,47.20135709,Line,107.4979147
101227,3003010,3003076,46.72157809,Line,106.4052503
101228,3003093,3003010,40.16361855,Line,91.46993873
101229,3003011,3003012,31.35237097,Line,71.40291525
101230,3003011,3003124,41.64481707,Line,94.8432687
101231,3003012,3006226,31.38936398,Line,71.48716434
101232,3003013,3003077,14.39091869,Line,32.77434899
101233,3003014,3003124,60.2393406,Line,137.1910448
101234,3006212,3003014,16.37985388,Line,37.30401505
101235,3003015,3003121,9.102064228,Line,20.72933882
101236,3003015,3003127,19.87970488,Line,45.2746902
101237,3003015,3003128,12.91172391,Line,29.4055824
101238,3003017,3003016,0,Transformer,99999
101239,3003016,3003083,15.9117172,Line,36.23786525
101240,3003016,3003103,11.77031485,Line,26.80610008
101241,3003016,3003131,26.03714381,Line,59.29784305
101242,3003139,3003016,39.01379155,Line,88.8512851
101243,3003019,3003018,0,Transformer,99999
101244,3003019,3003018,0,Transformer,99999
101245,3003020,3003018,0,Transformer,99999
101246,3003018,3003050,147.8962554,Line,183.7220564
101247,3003018,3003058,96.41605048,Line,119.7714913
101248,3003024,3003019,23.83561536,Line,54.28401013
101249,3003114,3003019,23.14254406,Line,52.70558688
101250,3003114,3003019,23.14254406,Line,52.70558688
101251,3003049,3003021,23.84589381,Line,54.30741861
101252,3005397,3003021,27.73123562,Line,63.15602316
101253,3003033,3003022,45.70787161,Line,104.096602
101254,3003085,3003022,21.30884697,Line,48.52946515
101255,3003049,3003023,22.05417799,Line,50.22690639
101256,3003023,3003067,67.2627472,Line,153.1863808
101257,3003023,3003115,60.63998067,Line,138.1034756
101258,3003035,3003025,38.59380267,Line,87.89478869
101259,3003025,3003036,53.42670179,Line,121.6757184
101260,3003025,3003101,37.41755794,Line,85.21597046
101261,3003027,3003026,0,Transformer,99999
101262,3003028,3003026,0,Transformer,99999
101263,3003026,3005395,17.16637808,Line,21.32469327
101264,3003027,3003102,17.05643115,Line,38.84487425
101265,3003147,3003029,20.51887026,Line,46.73034635
101266,3003029,3005241,16.42245244,Line,37.4010304
101267,3003030,3003072,15.26982042,Line,34.77598853
101268,3003114,3003030,35.28743471,Line,80.36475814
101269,3003054,3003031,22.72946581,Line,51.76482897
101270,3003031,3003070,25.8033862,Line,58.76547581
101271,3003031,3003140,27.61069391,Line,62.88149751
101272,3003032,3003094,12.85448659,Line,29.27522826
101273,3003099,3003032,9.360590323,Line,21.31811461
101274,3003034,3003033,0,Transformer,99999
101275,3003136,3003033,4.776288093,Line,10.87767475
101276,3003035,3003066,57.50885212,Line,130.9725411
101277,3003036,3003066,59.35024179,Line,135.1661821
101278,3003038,3003037,0,Transformer,99999
101279,3003039,3003037,0,Transformer,99999
101280,3003078,3003037,13.27068987,Line,16.48532903
101281,3003037,3003088,94.82156231,Line,117.7907606
101282,3003038,3003080,13.27068987,Line,30.22310323
101283,3003085,3003038,8.132985166,Line,18.52232646
101284,3003072,3003040,29.42183546,Line,67.00625052
101285,3003139,3003040,25.56375824,Line,58.21973927
101286,3003042,3003041,0,Transformer,99999
101287,3003043,3003041,0,Transformer,99999
101288,3003044,3003041,0,Transformer,99999
101289,3003045,3003041,0,Transformer,99999
101290,3003041,3003046,32.90104399,Line,40.8708621
101291,3003041,3003058,26.17631373,Line,32.51715991
101292,3003042,3003064,28.62012542,Line,65.18040985
101293,3003111,3003042,14.35760483,Line,32.69847891
101294,3003047,3003046,0,Transformer,99999
101295,3003048,3003046,0,Transformer,99999
101296,3003048,3003046,0,Transformer,99999
101297,3003046,3003078,33.53568648,Line,41.65923786
101298,3003082,3003046,33.17922991,Line,41.21643467
101299,3003047,3003064,9.467420064,Line,21.56141215
101300,3003129,3003047,14.64626073,Line,33.3558733
101301,3003048,3005045,219.3322458,Line,183.3881654
101302,3003048,3005045,219.3322458,Line,183.3881654
101303,3003048,3005120,154.4283901,Line,129.1207275
101304,3003048,3005394,115.5153907,Line,96.58477485
101305,3003051,3003050,0,Transformer,99999
101306,3003051,3003050,0,Transformer,99999
101307,3004014,3003050,176.4616164,Line,219.2069769
101308,3003052,3003093,64.42614155,Line,146.7262023
101309,3003052,3003107,28.15088802,Line,64.11175326
101310,3003054,3003053,0,Transformer,99999
101311,3003055,3003053,0,Transformer,99999
101312,3003056,3003053,0,Transformer,99999
101313,3003057,3003053,0,Transformer,99999
101314,3003058,3003053,88.09362955,Line,109.4330802
101315,3003082,3003053,16.17254363,Line,20.09011631
101316,3003053,3003088,50.31315515,Line,62.50081385
101317,3003053,3003088,50.31315515,Line,62.50081385
101318,3003059,3003058,0,Transformer,99999
101319,3003060,3003058,0,Transformer,99999
101320,3003061,3003058,0,Transformer,99999
101321,3003062,3003058,0,Transformer,99999
101322,3003063,3003058,0,Transformer,99999
101323,3003059,3003111,13.24201406,Line,30.15779601
101324,3003065,3003064,0,Transformer,99999
101325,3003064,3003141,16.22485199,Line,36.95100867
101326,3003066,3003142,52.53046422,Line,119.6345976
101327,3003068,3003067,0,Transformer,99999
101328,3003067,3003070,20.33589501,Line,46.31363253
101329,3003067,3003094,20.99191403,Line,47.8076717
101330,3003067,3003141,15.59756979,Line,35.52241567
101331,3003069,3003077,27.64545867,Line,62.96067192
101332,3003069,3003140,9.360104618,Line,21.31700845
101333,3003071,3003070,0,Transformer,99999
101334,3003070,3003131,7.546885116,Line,17.18752304
101335,3003142,3003072,33.84989194,Line,77.09085121
101336,3003074,3003073,0,Transformer,99999
101337,3003073,3003076,28.6654786,Line,65.28369869
101338,3003123,3003073,20.91919288,Line,47.64205417
101339,3003073,3004002,56.77477712,Line,129.3007346
101340,3003132,3003075,52.42115326,Line,119.3856493
101341,3003075,3003138,51.59865049,Line,117.5124545
101342,3003077,3003099,10.2181265,Line,23.27109555
101343,3003077,3003131,20.31703034,Line,46.27066952
101344,3003079,3003078,0,Transformer,99999
101345,3003081,3003078,0,Transformer,99999
101346,3003078,3003133,31.73969161,Line,39.42818834
101347,3003080,3003079,0,Transformer,99999
101348,3003134,3003079,31.73969161,Line,72.28501195
101349,3003083,3003082,0,Transformer,99999
101350,3003084,3003082,0,Transformer,99999
101351,3003137,3003083,10.96602666,Line,24.97438783
101352,3003086,3003085,0,Transformer,99999
101353,3003087,3003085,0,Transformer,99999
101354,3003085,3003128,4.768093943,Line,10.85901312
101355,3003089,3003088,0,Transformer,99999
101356,3003092,3003088,0,Transformer,99999
101357,3005395,3003088,35.71393199,Line,44.3651329
101358,3005395,3003088,35.71393199,Line,44.3651329
101359,3003090,3003089,0,Transformer,99999
101360,3003089,3005334,30.44895869,Line,69.34545457
101361,3003091,3003090,0,Transformer,99999
101362,3003102,3003091,6.955424096,Line,15.84051036
101363,3003091,3003125,8.052018687,Line,18.33793076
101364,3003095,3003094,0,Transformer,99999
101365,3003137,3003094,12.43957169,Line,28.33028749
101366,3003097,3003096,0,Transformer,99999
101367,3003097,3003096,0,Transformer,99999
101368,3003098,3003096,0,Transformer,99999
101369,3003133,3003096,28.69841462,Line,35.65020449
101370,3003109,3003097,7.082540722,Line,16.13000993
101371,3003099,3003100,24.90357094,Line,56.7162071
101372,3003100,3003102,16.60760816,Line,37.82271009
101373,3003125,3003100,21.58252449,Line,49.15274728
101374,3003104,3003101,24.11378511,Line,54.91752303
101375,3006360,3003101,23.18994882,Line,52.81354804
101376,3003105,3003104,0,Transformer,99999
101377,3003106,3003104,0,Transformer,99999
101378,3006156,3003104,23.77742316,Line,54.15148131
101379,3003108,3003147,23.72364408,Line,54.02900309
101380,3003108,3006065,35.16961594,Line,80.09643382
101381,3003110,3003109,0,Transformer,99999
101382,3003112,3003111,0,Transformer,99999
101383,3003113,3003111,0,Transformer,99999
101384,3003116,3003115,28.19164375,Line,64.2045717
101385,3003117,3003116,0,Transformer,99999
101386,3003118,3003116,0,Transformer,99999
101387,3003116,3003136,20.22033871,Line,46.05046082
101388,3003120,3003119,0,Transformer,99999
101389,3004002,3003119,38.23472512,Line,87.07701373
101390,3004188,3003119,46.64637789,Line,106.2339869
101391,3003122,3003121,0,Transformer,99999
101392,3003121,3003129,12.68544478,Line,28.89024691
101393,3003121,3003145,39.13321179,Line,89.12325666
101394,3003126,3003123,41.0595926,Line,93.51045934
101395,3006286,3003124,49.67534194,Line,113.1322487
101396,3003126,3006059,29.31990146,Line,66.7741027
101397,3003141,3003127,7.950308105,Line,18.10629175
101398,3003132,3003144,29.20853034,Line,66.52046248
101399,3003134,3003133,0,Transformer,99999
101400,3003135,3003134,0,Transformer,99999
101401,3003136,3003135,0,Transformer,99999
101402,3003138,3003142,43.80798804,Line,99.76974503
101403,3003138,3003146,48.9275448,Line,111.4291911
101404,3003144,3003143,30.85525407,Line,70.27076497
101405,3004003,3004040,26.56380862,Line,60.49728671
101406,3004103,3004003,18.40807552,Line,41.92315337
101407,3004103,3004003,18.40807552,Line,41.92315337
101408,3004128,3004003,28.45792785,Line,64.8110158
101409,3004005,3004004,0,Transformer,99999
101410,3004014,3004004,92.04964058,Line,114.3473796
101411,3004113,3004004,34.38620809,Line,42.71578645
101412,3004022,3004005,36.42767713,Line,82.96158352
101413,3004114,3004005,34.38620809,Line,78.31227515
101414,3004006,3004011,35.83245274,Line,81.60600003
101415,3004006,3004197,13.70330759,Line,31.20836096
101416,3004007,3004027,6.017832735,Line,13.70520913
101417,3004007,3004034,11.63289353,Line,26.49313227
101418,3004007,3004122,6.25632198,Line,14.24835234
101419,3004008,3006112,23.55786701,Line,53.65145696
101420,3006155,3004008,19.74943736,Line,44.97801469
101421,3004008,3006346,15.63205153,Line,35.60094552
101422,3004010,3004009,0,Transformer,99999
101423,3004010,3004009,0,Transformer,99999
101424,3004152,3004009,11.89648578,Line,27.09344588
101425,3004152,3004009,11.89648578,Line,27.09344588
101426,3004165,3004009,6.909908812,Line,15.73685237
101427,3004165,3004009,6.909908812,Line,15.73685237
101428,3004011,3004185,41.4616588,Line,94.42613805
101429,3004034,3004012,28.09352717,Line,63.98111779
101430,3004012,3004103,42.95267208,Line,97.82182048
101431,3004012,3004121,22.39251727,Line,50.99745135
101432,3004012,3004171,33.33107877,Line,75.90928912
101433,3004013,3004089,31.56077249,Line,71.87753569
101434,3004107,3004013,18.13800634,Line,41.30808898
101435,3004013,3004122,5.401621005,Line,12.30182838
101436,3004015,3004014,0,Transformer,99999
101437,3004015,3004014,0,Transformer,99999
101438,3004014,3004131,125.9994828,Line,156.5210966
101439,3004188,3004015,61.13117214,Line,139.2221312
101440,3004016,3004023,21.22927188,Line,48.34823824
101441,3004117,3004016,22.76224315,Line,51.83947716
101442,3004081,3004017,4.778293326,Line,10.88224153
101443,3004081,3004017,4.778293326,Line,10.88224153
101444,3004017,3004087,7.572410582,Line,17.24565557
101445,3004017,3004123,10.80903984,Line,24.61686092
101446,3004018,3004037,18.25134738,Line,41.56621557
101447,3004149,3004018,19.61875174,Line,44.68038698
101448,3004019,3004067,20.17871067,Line,45.95565577
101449,3004019,3004067,20.17871067,Line,45.95565577
101450,3004019,3004121,14.00121499,Line,31.88682502
101451,3004051,3004020,35.18974095,Line,80.14226717
101452,3004051,3004020,35.18974095,Line,80.14226717
101453,3004020,3004123,10.68826868,Line,24.34181272
101454,3004150,3004020,9.174352769,Line,20.89397111
101455,3004150,3004020,9.174352769,Line,20.89397111
101456,3004089,3004021,16.22684597,Line,36.95554983
101457,3004021,3004167,12.85304673,Line,29.27194908
101458,3004187,3004022,33.32552351,Line,75.89663739
101459,3006112,3004023,28.71307372,Line,65.39209335
101460,3004025,3004024,0,Transformer,99999
101461,3004026,3004024,0,Transformer,99999
101462,3004026,3004024,0,Transformer,99999
101463,3004131,3004024,64.79545663,Line,80.49125048
101464,3006263,3004024,56.89488698,Line,70.67687824
101465,3004025,3004117,6.734018009,Line,15.3362729
101466,3004027,3004088,6.053072789,Line,13.78546598
101467,3004027,3004088,6.053072789,Line,13.78546598
101468,3004029,3004028,0,Transformer,99999
101469,3004029,3004028,0,Transformer,99999
101470,3004030,3004028,0,Transformer,99999
101471,3004030,3004028,0,Transformer,99999
101472,3004030,3004028,0,Transformer,99999
101473,3004028,3007043,21.60471437,Line,26.83815449
101474,3004028,3007274,4.289411832,Line,5.328461903
101475,3004028,3007274,4.289411832,Line,5.328461903
101476,3004029,3006253,26.38509678,Line,60.09028253
101477,3007275,3004029,4.289411832,Line,9.768846823
101478,3004031,3004043,54.89609703,Line,125.0221671
101479,3004147,3004031,27.34628948,Line,62.27933422
101480,3004051,3004032,14.57942513,Line,33.20365971
